型號,導程,C,MR_C,MP_C,MY_C,動額定負載,外徑,重複定位精度,安裝方式,馬達瓦數,使用環境,型號類別
GTH3,2,677.3,2.3,2.6,2.6,2050,6,0.005,水平&橫掛&垂直,30,標準,GTH
GTH3,8,677.3,2.3,2.6,2.6,2100,6,0.005,水平&橫掛&垂直,30,標準,GTH
GTH4,2,1338.1,15.1,10.2,10.2,2730,10,0.005,水平&橫掛&垂直,50&100,標準,GTH
GTH4,6,1338.1,15.1,10.2,10.2,2100,10,0.005,水平&橫掛&垂直,50&100,標準,GTH
GTH4,12,1338.1,15.1,10.2,10.2,1400,10,0.005,水平&橫掛&垂直,50&100,標準,GTH
GTH5,2,1635.3,23,16.4,16.4,3277,12,0.005,水平&橫掛&垂直,100,標準,GTH
GTH5,5,1635.3,23,16.4,16.4,5258,12,0.005,水平&橫掛&垂直,100,標準,GTH
GTH5,10,1635.3,23,16.4,16.4,6298,12,0.005,水平&橫掛&垂直,100,標準,GTH
GTH5,20,1635.3,23,16.4,16.4,7622,12,0.005,水平&橫掛&垂直,100,標準,GTH
GTH8,5,3610.6,81.2,49,49,13538,16,0.005,水平&橫掛&垂直,200&400,標準,GTH
GTH8,10,3610.6,81.2,49,49,8240,16,0.005,水平&橫掛&垂直,200&400,標準,GTH
GTH8,20,3610.6,81.2,49,49,4073,16,0.005,水平&橫掛&垂直,200&400,標準,GTH
GTH12,5,10724.4,405.4,269.6,269.6,15686,16,0.005,水平&橫掛&垂直,400,標準,GTH
GTH12,10,10724.4,405.4,269.6,269.6,8240,16,0.005,水平&橫掛&垂直,400,標準,GTH
GTH12,20,10724.4,405.4,269.6,269.6,5435,16,0.005,水平&橫掛&垂直,400,標準,GTH
GTH12,32,10724.4,405.4,269.6,269.6,4836,16,0.005,水平&橫掛&垂直,400,標準,GTH
GTH5S,2,1635.3,23,16.4,16.4,3277,12,0.005,水平&橫掛&垂直,100,標準,GTH
GTH8S,5,3610.6,81.2,49,49,13538,16,0.005,水平&橫掛&垂直,200&400,標準,GTH
GTY4,2,1338.1,15.1,10.2,10.2,2730,10,0.01,水平&橫掛&垂直,50&100,標準,GTY
GTY4,6,1338.1,15.1,10.2,10.2,2100,10,0.01,水平&橫掛&垂直,50&100,標準,GTY
GTY4,12,1338.1,15.1,10.2,10.2,1400,10,0.01,水平&橫掛&垂直,50&100,標準,GTY
GTY5,2,1635.3,23,16.4,16.4,3277,12,0.01,水平&橫掛&垂直,100,標準,GTY
GTY5,5,1635.3,23,16.4,16.4,5258,12,0.01,水平&橫掛&垂直,100,標準,GTY
GTY5,10,1635.3,23,16.4,16.4,6298,12,0.01,水平&橫掛&垂直,100,標準,GTY
GTY5,20,1635.3,23,16.4,16.4,7622,12,0.01,水平&橫掛&垂直,100,標準,GTY
GTY8,5,3610.6,81.2,49,49,13538,16,0.01,水平&橫掛&垂直,200&400,標準,GTY
